,SC02T13_01_02,SC14_05_01_05,SC14_09_01_01,SC14_13_01_01,SC14_13_03_01,SC14_14_02_02,SC15_08_01_09,SC15_15_01_01,SC18_24_01_02,SC18_32_01_02
SC02T13_01_02,,,,,,,,,,
SC14_05_01_05,0.910834,,,,,,,,,
SC14_09_01_01,0.4400874,0.4480422,,,,,,,,
SC14_13_01_01,0,0.9105767,0,,,,,,,
SC14_13_03_01,0.06488219,1,0.08190889,0.8776215,,,,,,
SC14_14_02_02,1,0.792044,0.882519,0.3127087,0.4098982,,,,,
SC15_08_01_09,0,1,0,0,0.3917701,0,,,,
SC15_15_01_01,0,0.6914095,0,0,0,0,0,,,
SC18_24_01_02,1,0.9826536,0.9467849,1,1,0.9675566,1,0.9999992,,
SC18_32_01_02,0,0.9054112,0,0.407807,0.8403931,0.8977679,0,0,0.9999999,
